Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,9468,1245A-DP,1245A,1245A,INF209KA1IS6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,02-05-2014 00:00:00,N,0,N,0,B1245A
B,9467,1245B-GR,1245B,1245B,INF209KA1IR8,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,02-05-2014 00:00:00,N,0,N,0,B1245B
B,9469,1245C-DP,1245C,1245C,INF209KA1IT4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,02-05-2014 00:00:00,N,0,N,0,B1245C
B,9474,1246A-DP,1246A,1246A,INF209KA1IY4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,06-05-2014 00:00:00,N,0,N,0,B1246A
B,9473,1246B-GR,1246B,1246B,INF209KA1IX6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,06-05-2014 00:00:00,N,0,N,0,B1246B
B,9475,1246C-DP,1246C,1246C,INF209KA1IZ1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,06-05-2014 00:00:00,N,0,N,0,B1246C
B,9602,1247A-DP,1247A,1247A,INF209KA1JE4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-05-2014 00:00:00,N,0,N,0,B1247A
B,9601,1247B-GR,1247B,1247B,INF209KA1JD6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,09-05-2014 00:00:00,N,0,N,0,B1247B
B,9603,1247C-DP,1247C,1247C,INF209KA1JF1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-05-2014 00:00:00,N,0,N,0,B1247C
B,9622,1248A-DP,1248A,1248A,INF209KA1JK1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,13-05-2014 00:00:00,N,0,N,0,B1248A
